grupo, algorithm, domain, instance, cost,h0, generated, time, gen_per_sec
x, dfid, 15puzzle_korf.txt, '7 15 8 2 13 6 3 12 11 B 4 10 9 5 1 14', 53, 41, 1988292, 1.53317, 1.29685e+06
x, dfid, 15puzzle_korf.txt, '14 13 15 7 11 12 9 5 6 B 2 1 4 8 10 3', 57, 41, 57364925, 46.0025, 1.247e+06
x, dfid, 15puzzle_korf.txt, '13 5 4 10 9 12 8 14 2 3 7 1 B 15 11 6', 55, 43, 1897575, 1.43542, 1.32197e+06
x, dfid, 15puzzle_korf.txt, '14 7 8 2 13 11 10 4 9 12 5 B 3 6 1 15', 59, 41, 41506972, 35.0439, 1.18443e+06
x, dfid, 15puzzle_korf.txt, '5 12 10 7 15 11 14 B 8 2 1 13 3 4 9 6', 56, 42, 12200968, 9.55123, 1.27742e+06
x, dfid, 15puzzle_korf.txt, '4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 B', 56, 42, 1742847, 1.31918, 1.32116e+06
x, dfid, 15puzzle_korf.txt, '14 7 1 9 12 3 6 15 8 11 2 5 10 B 4 13', 52, 36, 4338446, 3.56528, 1.21686e+06
x, dfid, 15puzzle_korf.txt, '2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 B', 52, 30, 27465172, 23.675, 1.16009e+06
x, dfid, 15puzzle_korf.txt, '12 11 15 3 8 B 4 2 6 13 9 5 14 1 10 7', 50, 32, 4025190, 3.16347, 1.2724e+06
x, dfid, 15puzzle_korf.txt, '3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 B', 46, 34, 247854, 0.195524, 1.26764e+06
